x,y,Cluster_ID
47.51281,1.9598025,6
46.39487,3.4062989,6
45.226753,3.4455473,8
44.244698,3.413708,8
43.073452,3.3869054,8
42.7477,3.1013067,8
42.719193,1.6140971,6
50.216694,-2.3557014,6
50.776012,-3.504932,6
51.4685,-5.578812,6
52.08321,-6.2382765,6
53.519688,-6.484068,6
53.79302,-6.6810584,6
50.227486,-7.453034,6
49.43026,-7.7326474,6
48.77769,-7.699273,6
42.28866,-2.1972125,6
42.004414,-1.5319136,8
41.904243,-1.2557968,8
41.89806,-0.8189593,8
49.731495,-3.4290059,6
51.25241,-4.565017,6
52.44523,-5.0482354,6
56.329628,-5.0660086,6
56.919132,-4.938935,6
57.864094,-4.6587834,6
58.256977,-4.211651,6
46.430737,2.9291825,6
45.710224,2.46824,6
45.277874,1.893322,6
44.84627,1.1980779,8
45.72377,-0.1674676,6
47.189823,-2.887492,6
48.068474,-3.837003,6
49.197536,-4.9390216,6
50.083874,-5.4463353,6
51.987778,-7.8873525,6
52.676792,-8.525606,6
53.784435,-9.202941,6
54.51516,-9.400338,6
55.093086,-9.504213,6
56.143284,-9.451224,6
56.907852,-9.531705,6
57.10857,-9.719282,6
51.753334,-16.07721,6
51.27273,-16.33919,6
50.084194,-17.002586,6
49.138527,-17.820284,0
48.994587,-17.744545,0
48.513668,-17.481852,6
43.569168,-11.110002,6
31.275501,-3.561063,8
31.165611,-3.7284167,8
31.229124,-4.4011583,8
31.386011,-5.186071,8
38.980526,-19.216206,7
50.17309,-22.791065,0
50.085648,-23.305351,0
49.896496,-23.846289,0
49.705597,-24.247309,0
48.445732,-24.010275,0
46.986633,-24.318342,0
46.815804,-24.106306,0
46.81771,-23.128252,0
46.9338,-22.405851,0
47.207092,-21.638962,0
24.6902,9.992198,8
24.774332,9.096646,8
25.352827,7.9298396,8
25.673058,7.8522253,8
26.535759,8.0452,8
27.354881,8.435891,8
28.142414,8.550391,8
46.81488,12.354671,3
47.433487,12.425101,6
47.9088,12.526588,6
39.051044,28.212467,3
38.600094,28.549011,3
38.314625,28.547909,3
37.319202,28.604115,3
36.63786,28.396635,3
25.08894,29.436712,3
25.10672,28.885637,3
25.61201,28.51348,3
25.908133,28.088602,3
26.390848,28.047987,3
27.29135,27.809317,3
20.955038,11.245812,3
21.141157,10.6718855,3
21.577997,9.321571,8
21.64576,8.894333,8
21.628036,8.205191,8
21.559864,6.677042,8
20.981598,6.409758,8
22.496826,14.319544,3
22.554945,14.517467,7
